"","subjectid","activity","feature","mean_measure"
"1","1","LAYING","angletBodyAccelerometerJerkMeangravityMean",0.00306040735
"2","1","LAYING","angletBodyAccelerometerMeangravity",0.0213659655642
"3","1","LAYING","angletBodyGyroscopeJerkMeangravityMean",0.08443716468
"4","1","LAYING","angletBodyGyroscopeMeangravityMean",-0.001666984698
"5","1","LAYING","angleXgravityMean",0.4267062264
"6","1","LAYING","angleYgravityMean",-0.52034381798
"7","1","LAYING","angleZgravityMean",-0.35241310896
"8","1","LAYING","FFTBodyAccelerometerJerkmean",-0.942532465933333
"9","1","LAYING","FFTBodyAccelerometerJerkmeanFreq",0.060440218878
"10","1","LAYING","FFTBodyAccelerometerJerkstd",-0.9523218554
"11","1","LAYING","FFTBodyAccelerometerMagnitudemean",-0.8617676481
"12","1","LAYING","FFTBodyAccelerometerMagnitudemeanFreq",0.08640856294
"13","1","LAYING","FFTBodyAccelerometerMagnitudestd",-0.7983009404
"14","1","LAYING","FFTBodyAccelerometermean",-0.896277044593333
"15","1","LAYING","FFTBodyAccelerometermeanFreq",0.00939327543266667
"16","1","LAYING","FFTBodyAccelerometerstd",-0.856984850046667
"17","1","LAYING","FFTBodyBodyAccelerometerJerkMagnitudemean",-0.9333003608
"18","1","LAYING","FFTBodyBodyAccelerometerJerkMagnitudemeanFreq",0.26639115416
"19","1","LAYING","FFTBodyBodyAccelerometerJerkMagnitudestd",-0.9218039756
"20","1","LAYING","FFTBodyBodyGyroscopeJerkMagnitudemean",-0.9423669466
"21","1","LAYING","FFTBodyBodyGyroscopeJerkMagnitudemeanFreq",0.17648590708
"22","1","LAYING","FFTBodyBodyGyroscopeJerkMagnitudestd",-0.9326606676
"23","1","LAYING","FFTBodyBodyGyroscopeMagnitudemean",-0.8621901854
"24","1","LAYING","FFTBodyBodyGyroscopeMagnitudemeanFreq",-0.1397750127
"25","1","LAYING","FFTBodyBodyGyroscopeMagnitudestd",-0.82431943968
"26","1","LAYING","FFTBodyGyroscopemean",-0.903914463462
"27","1","LAYING","FFTBodyGyroscopemeanFreq",-0.0282059336926667
"28","1","LAYING","FFTBodyGyroscopestd",-0.916703669466667
"29","1","LAYING","tBodyAccelerometerJerkMagnitudemean",-0.9543962646
"30","1","LAYING","tBodyAccelerometerJerkMagnitudestd",-0.9282456284
"31","1","LAYING","tBodyAccelerometerJerkmean",0.0319196581899333
"32","1","LAYING","tBodyAccelerometerJerkstd",-0.945828832133333
"33","1","LAYING","tBodyAccelerometerMagnitudemean",-0.8419291525
"34","1","LAYING","tBodyAccelerometerMagnitudestd",-0.79514486386
"35","1","LAYING","tBodyAccelerometermean",0.0226269123102
"36","1","LAYING","tBodyAccelerometerstd",-0.863648425482667
"37","1","LAYING","tBodyGyroscopeJerkMagnitudemean",-0.96346103
"38","1","LAYING","tBodyGyroscopeJerkMagnitudestd",-0.9358409828
"39","1","LAYING","tBodyGyroscopeJerkmean",-0.074279452394
"40","1","LAYING","tBodyGyroscopeJerkstd",-0.948101974666667
"41","1","LAYING","tBodyGyroscopeMagnitudemean",-0.874759548
"42","1","LAYING","tBodyGyroscopeMagnitudestd",-0.81901016976
"43","1","LAYING","tBodyGyroscopemean",0.0225500727313333
"44","1","LAYING","tBodyGyroscopestd",-0.910972990206667
"45","1","LAYING","tGravityAccelerometerMagnitudemean",-0.8419291525
"46","1","LAYING","tGravityAccelerometerMagnitudestd",-0.79514486386
"47","1","LAYING","tGravityAccelerometermean",0.300828564993333
"48","1","LAYING","tGravityAccelerometerstd",-0.885638771793333
"49","1","SITTING","angletBodyAccelerometerJerkMeangravityMean",0.0297097878297872
"50","1","SITTING","angletBodyAccelerometerMeangravity",0.0274415479191489
"51","1","SITTING","angletBodyGyroscopeJerkMeangravityMean",-0.064881619087234
"52","1","SITTING","angletBodyGyroscopeMeangravityMean",0.0676981338723404
"53","1","SITTING","angleXgravityMean",-0.591247480212766
"54","1","SITTING","angleYgravityMean",-0.0604660253808511
"55","1","SITTING","angleZgravityMean",-0.218017225106383
"56","1","SITTING","FFTBodyAccelerometerJerkmean",-0.984743193971631
"57","1","SITTING","FFTBodyAccelerometerJerkmeanFreq",0.132182203594326
"58","1","SITTING","FFTBodyAccelerometerJerkstd",-0.986115362978723
"59","1","SITTING","FFTBodyAccelerometerMagnitudemean",-0.947782922553192
"60","1","SITTING","FFTBodyAccelerometerMagnitudemeanFreq",0.236655011680851
"61","1","SITTING","FFTBodyAccelerometerMagnitudestd",-0.928444801702128
"62","1","SITTING","FFTBodyAccelerometermean",-0.960970226099291
"63","1","SITTING","FFTBodyAccelerometermeanFreq",0.0884207831503546
"64","1","SITTING","FFTBodyAccelerometerstd",-0.942718959219858
"65","1","SITTING","FFTBodyBodyAccelerometerJerkMagnitudemean",-0.985262126808511
"66","1","SITTING","FFTBodyBodyAccelerometerJerkMagnitudemeanFreq",0.351852201957447
"67","1","SITTING","FFTBodyBodyAccelerometerJerkMagnitudestd",-0.981606177446808
"68","1","SITTING","FFTBodyBodyGyroscopeJerkMagnitudemean",-0.989797547234043
"69","1","SITTING","FFTBodyBodyGyroscopeJerkMagnitudemeanFreq",0.184775928085106
"70","1","SITTING","FFTBodyBodyGyroscopeJerkMagnitudestd",-0.987049617234043
"71","1","SITTING","FFTBodyBodyGyroscopeMagnitudemean",-0.958435589361702
"72","1","SITTING","FFTBodyBodyGyroscopeMagnitudemeanFreq",-0.000262186717021277
"73","1","SITTING","FFTBodyBodyGyroscopeMagnitudestd",-0.932198374893617
"74","1","SITTING","FFTBodyGyroscopemean",-0.967771864609929
"75","1","SITTING","FFTBodyGyroscopemeanFreq",0.0741653891649645
"76","1","SITTING","FFTBodyGyroscopestd",-0.961389036879433
"77","1","SITTING","tBodyAccelerometerJerkMagnitudemean",-0.987364195531915
"78","1","SITTING","tBodyAccelerometerJerkMagnitudestd",-0.984120024042553
"79","1","SITTING","tBodyAccelerometerJerkmean",0.0244985416073759
"80","1","SITTING","tBodyAccelerometerJerkstd",-0.985237827021277
"81","1","SITTING","tBodyAccelerometerMagnitudemean",-0.948536786170213
"82","1","SITTING","tBodyAccelerometerMagnitudestd",-0.927078418723404
"83","1","SITTING","tBodyAccelerometermean",0.0517950318395035
"84","1","SITTING","tBodyAccelerometerstd",-0.946477980425532
"85","1","SITTING","tBodyGyroscopeJerkMagnitudemean",-0.991976341276596
"86","1","SITTING","tBodyGyroscopeJerkMagnitudestd",-0.988308728510638
"87","1","SITTING","tBodyGyroscopeJerkmean",-0.0601979400496454
"88","1","SITTING","tBodyGyroscopeJerkstd",-0.989728489007092
"89","1","SITTING","tBodyGyroscopeMagnitudemean",-0.93089249
"90","1","SITTING","tBodyGyroscopeMagnitudestd",-0.934531840425532
"91","1","SITTING","tBodyGyroscopemean",-0.0247809434191489
"92","1","SITTING","tBodyGyroscopestd",-0.961703699787234
"93","1","SITTING","tGravityAccelerometerMagnitudemean",-0.948536786170213
"94","1","SITTING","tGravityAccelerometerMagnitudestd",-0.927078418723404
"95","1","SITTING","tGravityAccelerometermean",0.455988409617021
"96","1","SITTING","tGravityAccelerometerstd",-0.951005044964539
"97","1","STANDING","angletBodyAccelerometerJerkMeangravityMean",0.021963782690566
"98","1","STANDING","angletBodyAccelerometerMeangravity",-0.000222340747169812
"99","1","STANDING","angletBodyGyroscopeJerkMeangravityMean",-0.0279229321962264
"100","1","STANDING","angletBodyGyroscopeMeangravityMean",-0.0337938382037736
"101","1","STANDING","angleXgravityMean",-0.743407887924528
"102","1","STANDING","angleYgravityMean",0.270175032830189
"103","1","STANDING","angleZgravityMean",0.0122528503773585
"104","1","STANDING","FFTBodyAccelerometerJerkmean",-0.990267222641509
"105","1","STANDING","FFTBodyAccelerometerJerkmeanFreq",0.163975438131447
"106","1","STANDING","FFTBodyAccelerometerJerkstd",-0.991480601383648
"107","1","STANDING","FFTBodyAccelerometerMagnitudemean",-0.985356361132075
"108","1","STANDING","FFTBodyAccelerometerMagnitudemeanFreq",0.284555290773585
"109","1","STANDING","FFTBodyAccelerometerMagnitudestd",-0.982313804716981
"110","1","STANDING","FFTBodyAccelerometermean",-0.985872626352201
"111","1","STANDING","FFTBodyAccelerometermeanFreq",0.149617632140063
